Date,Temperature (°C),Humidity (%),NO2 (80 µg/m³),SO2 (120 µg/m³),PM2.5 (35 µg/m³)
13-07-2023,35,69,4.5,13.6,14.3
14-07-2023,31,64,3.8,9.6,8.78
15-07-2023,32,30,5.2,13,13.4
16-07-2023,32,62,3.92,11.8,11.3
17-07-2023,33,30,11.3,22.3,33.5
18-07-2023,32,48,13.2,27.9,40.6
19-07-2023,30,80,10.6,20.8,26.9
20-07-2023,29,86,7.6,18.7,20.4
21-07-2023,29,73,8.88,20.6,23.5
22-07-2023,29,61,8.6,18.3,18.6
23-07-2023,28,48,8.44,17.2,17.8
24-07-2023,28,55,6.8,14.6,18.6
25-07-2023,27,53,6.1,10.6,12.6
26-07-2023,27,58,7,10.8,11.3
27-07-2023,27,62,4.6,11.8,9.7
28-07-2023,26,94,5.3,10.2,8.6
29-07-2023,26,83,6.11,9.2,12.3
30-07-2023,26,68,7.2,11.4,12.6
31-07-2023,26,64,7.2,11.4,13.4
31-07-2023,32,82.33,7.52,7.48,18.33
1/6/2023,21.83,67.33,1.7,6.07,10.35
2/6/2023,34.25,75.32,2.6,9.32,12.65
3/6/2023,35.6,89.69,4.5,8.24,15.96
4/6/2023,32.13,65.23,2.3,7.33,11.5
5/6/2023,35.13,70.65,3.5,8.83,13.1
6/6/2023,36,90.15,4.1,9.47,14.37
7/6/2023,38.25,85.94,4.8,7.65,10.35
8/6/2023,36.3,78.12,5.7,9.77,14.52
9/6/2023,36.9,75.16,4.7,8.67,12.57
10/6/2023,35.21,85.35,5.9,9.64,19.35
11/6/2023,34.25,79.45,6.2,11.54,14.62
12/6/2023,36.9,74.54,5.6,10,14.03
13-06-2023,36.9,98.25,6.1,9.8,15.03
14-06-2023,36.8,35.67,4.8,7.93,13.5
15-06-2023,33.6,41.33,3.5,6.57,11.33
16-06-2023,32.65,45.36,2.65,8.14,10.25
17-06-2023,34.87,78.25,7.2,7.98,12.35
18-06-2023,35.2,89,3,5.57,11.1
19-06-2023,35.4,42,7,6.93,15.17
20-06-2023,35.7,45.67,7.7,8.2,17.37
21-06-2023,39,47,7.87,8.5,18.35
22-06-2023,39.26,50.17,8.53,8.23,19.29
23-06-2023,38.45,60.12,7.25,9.65,18.63
24-06-2023,35.48,75.45,5.21,6.66,17.54
25-06-2023,30.5,59,6.21,6.58,14.88
26-06-2023,31.4,57.67,7.29,8.01,17.14
27-06-2023,32.53,58.67,7.57,8.48,14.8
28-06-2023,36.98,65.32,8.96,7.54,15.62
29-06-2023,28.32,84.32,4.25,7.36,19.32
30-06-2023,30.12,76.58,6.21,8.12,12.31
1/5/2023,22.8,55,3.2,14,10.9
2/5/2023,23,53,3.9,15,11.8
3/5/2023,23.8,54,3.5,14.9,15
4/5/2023,22.8,58,4.1,14.2,17.8
5/5/2023,23.6,54,3.9,15.2,18
6/5/2023,23.9,51,4.2,16.26,17.9
7/5/2023,23.8,52,3.9,17,19.2
8/5/2023,24.2,48,4.8,17,16.8
9/5/2023,24.5,45,4.1,15.1,14.5
10/5/2023,24.8,40,3.9,17,14.8
11/5/2023,25,39,4.01,16.46,17
12/5/2023,24.8,41,4.33,19.4,25.5
13-05-2023,25,43,4.9,16.11,22.2
14-05-2023,25.8,41,4.8,17.2,17.1
15-05-2023,25.7,37,3.9,21.3,19.2
16-05-2023,25.9,39,3.8,18.53,18.8
17-05-2023,25,51,3.6,17.2,12.8
18-05-2023,25.8,72,3.58,13.73,11.96
19-05-2023,24.2,60,3.72,15.46,15.96
20-05-2023,24,62,3.5,16.9,16.33
21-05-2023,26.8,45,3,10.8,12.5
22-05-2023,26,41,3.7,10.9,13.8
23-05-2023,26.3,42,3.5,10.3,12.9
24-05-2023,27.3,39,4.1,11.3,14.2
25-05-2023,27.5,38,4.8,12.6,14.8
26-05-2023,28,39,3.74,18.73,18.4
27-05-2023,27.9,49.33,3.59,17.03,16
28-05-2023,28.4,39,5.3,15.7,19
29-05-2023,27,40.5,3,9.17,12
30-05-2023,30,45,2.8,8.3,13.9
31-05-2023,27.3,45,2.7,8.5,11.32
1/4/2023,16,78,3.41,14.5,9
2/4/2023,16.7,64.7,3.62,15.43,11.63
3/4/2023,17,68,3.7,15.8,14.5
4/4/2023,17.33,58.33,3.53,16.43,19.3
5/4/2023,17,51,3.64,16.8,20.7
6/4/2023,17.33,47,3.56,16.26,16.56
7/4/2023,18,41,3.7,17,20.7
8/4/2023,18,43,3.68,16.92,18.6
9/4/2023,19,45,3.6,15.1,12.8
10/4/2023,19,40,3.49,15,14.46
11/4/2023,20.33,39,4.01,16.46,18.1
12/4/2023,20.66,41,4.33,19.4,26.9
13-04-2023,21,43,4.1,16.11,14.4
14-04-2023,22,38,4.4,17.2,17.1
15-04-2023,23,37,3.9,21.3,22.7
16-04-2023,23,39,3.8,18.53,18.8
17-04-2023,22,51,3.6,17.2,12.8
18-04-2023,21.66,72,3.58,13.73,11.96
19-04-2023,19,66.33,3.72,15.46,15.96
20-04-2023,20,60,3.5,16.9,16.33
21-04-2023,20.33,65,3.7,17.33,18.9
22-04-2023,20.66,61,3.62,16.7,16.8
23-04-2023,21.33,46,3.7,18.6,19.4
24-04-2023,22,43,3.8,19.2,22.8
25-04-2023,22.33,41,4.2,20.8,25.6
26-04-2023,23,39,3.74,18.73,19.46
27-04-2023,22.33,49.33,3.59,17.03,16
28-04-2023,22,64,3.11,15.22,12.65
29-04-2023,22.33,51,3.6,20.6,27
30-04-2023,22.66,73,4.21,23,31
1/3/2023,16,63,4.7,20.7,23
2/3/2023,15,59.77,5.36,20.4,22
3/3/2023,16,47,5.41,22.9,29
4/3/2023,16.33,42,4.8,21.8,24
5/3/2023,16.66,41,4.3,19,18
6/3/2023,17,37,5.03,18.56,18.6
7/3/2023,17.33,32.33,5,18.23,18.83
8/3/2023,18.33,32.33,4.78,17.7,17.71
9/3/2023,18.33,38,5.1,23.9,33.4
10/3/2023,18,36,5.04,24.5,31.5
11/3/2023,18.33,39,5.3,24.7,33.6
12/3/2023,19,41,4.86,22.26,41.2
13-03-2023,19.33,39.4,4.81,20.9,24.1
14-03-2023,19.66,38.33,4.9,21.23,20.6
15-03-2023,19,43,4.6,23.9,27
16-03-2023,18.33,67,4.3,18.6,11
17-03-2023,18.66,63,4.5,21.8,28.4
18-03-2023,18,70,4.21,20.9,20.5
19-03-2023,18.66,54,5.3,21.3,27.9
20-03-2023,18.66,58.66,5.11,21.3,26
21-03-2023,19,70,4.17,18.6,23.8
22-03-2023,19.33,65,4.3,19.3,27.3
23-03-2023,20,68.33,4.21,18.23,13.76
24-03-2023,19,73,4.33,19.8,23.4
25-03-2023,18,83,3.75,13.7,12.7
26-03-2023,17,79.33,3.68,13.5,9.86
27-03-2023,18,63,3.81,16.9,19.7
28-03-2023,18.33,64,3.82,17.11,22
29-03-2023,17.33,53.33,4.15,16.56,27.33
30-03-2023,16,81,3.8,15.33,18.9
31-03-2023,16.33,333,83,3.42,13.5
1/2/2023,12,42,9.88,23.7,43.7
2/2/2023,13.33,44.33,10.9,24.83,48.33
3/2/2023,13,46,12.6,29.4,70.3
4/2/2023,14,60,9.74,23.6,41.8
5/2/2023,14,60,10.2,24.11,43.9
6/2/2023,12.7,56.7,8.62,22.53,16.56
7/2/2023,13.33,47.7,7.77,18.2,19.4
8/2/2023,12,52,7.58,17.1,27
9/2/2023,10.33,59.33,7.04,15.83,17.4
10/2/2023,10.66,67,7.3,23.1,32
11/2/2023,10.66,70,7.2,22.8,22.1
12/2/2023,11,32,7.16,22.6,19.33
13-02-2023,11.66,34,6.9,20.5,21.5
14-02-2023,13,34.33,7.16,27.4,43.7
15-02-2023,13,42,7.33,21.2,28.9
16-02-2023,13.33,43,8.1,28.1,70
17-02-2023,13.66,39,8.6,28.3,73.8
18-02-2023,14.33,40,7.6,27.75,66.8
19-02-2023,14.33,63,6.73,27.3,60
20-02-2023,15,54,6.88,25.9,71
21-02-2023,15.7,43.33,6.7,19.2,20.66
22-02-2023,15.33,46,6.2,20.1,18
23-02-2023,15,47,6.5,21.46,22.7
24-02-2023,15.66,51,5.8,23.8,41.33
25-02-2023,15.66,56,5.6,21.9,26
26-02-2023,16,49.33,5.43,19.96,18.33
27-02-2023,15,51,5.22,19.51,23
28-02-2023,14.66,55.7,5.14,19.2,21
1/1/2023,11.66,44,14.9,48.7,63.1
2/1/2023,11.66,40,15.22,49.5,65
3/1/2023,12,37.6,16.8,52.6,112
4/1/2023,12.66,35.2,15.3,53.6,74
5/1/2023,13,33.66,15.9,58.23,71.64
6/1/2023,14,36,16.4,56.4,85
7/1/2023,14.33,38,17.33,54.3,102.3
8/1/2023,14.66,43.6,16.8,52.1,97.5
9/1/2023,15.33,49.33,13.63,34.1,62.7
10/1/2023,13,66,12.8,41.3,70.4
11/1/2023,10.66,78,11.9,33.4,42
12/1/2023,10.33,72,12.4,33.5,43
13-01-2023,10,64,13.8,34.6,59.6
14-01-2023,9.33,60,13.64,33.7,57.2
15-01-2023,8,46,12.7,31.4,46.7
16-01-2023,8.33,41,14.73,33.2,50.53
17-01-2023,8.7,41,13.04,31.7,45.5
18-01-2023,8.7,40,14.3,35.6,72
19-01-2023,9,44.7,11.56,31.4,44
20-01-2023,9,50,11.2,30.1,40
21-01-2023,9,66,10.6,28.6,28.1
22-01-2023,8.7,60,10.91,31.6,51.4
23-01-2023,8.7,58,12.3,35.3,75
24-01-2023,8.33,55,14.6,37.68,90
25-01-2023,8.33,53.5,13.2,35.4,82
26-01-2023,8.6,50,13.6,33.7,72
27-01-2023,9,49,14.7,34.5,84
28-01-2023,9.6,67,13.8,30.9,62
29-01-2023,10,61,11.2,26.8,35
30-01-2023,10.33,57.7,8.9,20.13,23
31-01-2023,10.7,56,10.34,24.67,42.7
1/12/2022,15,42,5.2,23.6,35.6
2/12/2022,15.6,57,5.4,28.7,51
3/12/2022,15.33,56,5.5,30.6,68.9
4/12/2022,15.33,58,5.4,31.8,75.3
5/12/2022,15,53.7,7.23,30.36,92.03
6/12/2022,14.33,47,7.56,30.63,65.16
7/12/2022,14.7,46,8.99,32.3,66.8
8/12/2022,15,48,10.3,34.6,70.6
9/12/2022,14.3,50,9.53,31.4,57.8
10/12/2022,14,52,9.33,30.1,46.2
11/12/2022,13.7,51,11.7,32.9,52.46
12/12/2022,13.6,52.7,12.9,33.3,53.86
13-12-2022,13,50.7,11.33,29.46,45.3
14-12-2022,13.7,48,10.9,28.66,43.7
15-12-2022,13.7,42,11.3,28.9,45.9
16-12-2022,13.3,39,11.6,31.22,49.5
17-12-2022,13,37,12.7,31.7,57.6
18-12-2022,12.7,40,13.55,33.8,72
19-12-2022,12.7,42.66,15.93,31.83,70.33
20-12-2022,13,43,14.6,33.8,84.3
21-12-2022,13,45,15.7,35.6,89.5
22-12-2022,12.7,54,14.3,33.5,80
23-12-2022,12.7,47,14.56,33.84,81
24-12-2022,12.33,42,13.7,32.6,74
25-12-2022,12.33,40,15.2,39.7,96.3
26-12-2022,12,45,14.81,38.6,90
27-12-2022,12,48,13.6,33.21,73.6
28-12-2022,12,50,13.8,31.7,72.4
29-12-2022,11.7,54,14.3,32.6,80
30-12-2022,11.7,73,12.4,31.6,47.8
31-12-2022,11.33,70,11.3,29.4,40.2
1/11/2022,23,57,15.7,20.3,16.7
2/11/2022,23,59,16.8,22.8,18.6
3/11/2022,23,38,18.9,25.9,23.6
4/11/2022,23.7,60,20.3,26.8,33
5/11/2022,24,56,14.5,17.6,20.3
6/11/2022,24,41,16.3,20.11,22
7/11/2022,24,37,16.5,20.4,21
8/11/2022,24,32,15.6,19.1,19.2
9/11/2022,24,29,13.33,17.4,18
10/11/2022,24.5,30,13.6,17,18.4
11/11/2022,25,31,13.8,17.7,17.88
12/11/2022,25,28,14.1,16.7,18.2
13-11-2022,25,25,12.5,13.6,16.4
14-11-2022,24.5,27,12.7,18.3,18.7
15-11-2022,25,44,12.66,16.7,15.6
16-11-2022,25.5,32,13.2,15.1,16.8
17-11-2022,26,33,13.5,16.7,18.3
18-11-2022,26,64,13.24,16.8,16.5
19-11-2022,26,40,9.11,17.3,18.8
20-11-2022,26,32,17.3,20.8,31.2
21-11-2022,26.5,35,9.6,13.9,13.4
22-11-2022,27,43,8.6,14.7,14.3
23-11-2022,27,35,8.91,14.6,12.6
24-11-2022,27,27,9.2,13.6,12.2
25-11-2022,27,26,9.4,16.9,11.7
26-11-2022,27.33,82,18.89,22.33,18.3
27-11-2022,28,18,18.6,23.4,20.8
28-11-2022,28,37,18.88,24.7,26.3
29-11-2022,28,49,20.6,26.4,30.2
30-11-2022,28,41,17.3,21.3,22.6
1/10/2022,27.6,65,2.8,12.2,12.8
2/10/2022,27,74.66,2.73,11.63,12.66
3/10/2022,27,72,2.73,13.47,23
4/10/2022,27.6,56.6,2.73,13.13,18
5/10/2022,28,51.33,2.91,13.76,25.7
6/10/2022,26.33,64,2.8,13.83,14.26
7/10/2022,27,58,2.94,14.7,17
8/10/2022,26,60,3.3,15.6,21.2
9/10/2022,25,62,4.05,18,29.53
10/10/2022,24.33,65,4.23,21.12,32.33
11/10/2022,24,70.33,4.31,21.65,31.7
12/10/2022,24,61.33,3.83,17.33,19
13-10-2022,23.5,57,3.91,18.7,27
14-10-2022,23,56,3.92,19.2,29
15-10-2022,23,54,3.45,19.4,27.2
16-10-2022,23,54.33,3.55,17.03,23.2
17-10-2022,23,51.66,3.69,17.42,28.26
18-10-2022,22.5,50.8,3.5,18.4,29.4
19-10-2022,22.3,48,3.71,18.53,24.33
20-10-2022,21.7,59.66,3.54,15.9,17
21-10-2022,21.33,56,3.65,16.8,21
22-10-2022,21,47,3.68,17.5,22.6
23-10-2022,20.7,43,3.57,17.3,21.8
24-10-2022,20.66,40.33,3.72,16.56,24.66
25-10-2022,21.7,42.33,3.47,16.83,26.7
26-10-2022,21,48,3.72,17.8,28
27-10-2022,22,42.7,3.83,18.1,28
28-10-2022,21,38,3.9,19.2,32
29-10-2022,21.7,42,4.17,21.8,34
30-10-2022,22,46.33,4.32,23.16,42
31-10-2022,21.7,46.33,4.93,24.5,51
